"","CTYNAME","Percent Married","Percent Divorced","YEAR"
"121","Kandiyohi County, Minnesota","57.7","8.3",2014
"122","Kittson County, Minnesota","54.7","9.6",2014
"123","Koochiching County, Minnesota","55.1","11.0",2014
"124","Lac qui Parle County, Minnesota","61.5","8.8",2014
"125","Lake County, Minnesota","61.8","11.5",2014
"126","Lake of the Woods County, Minnesota","57.8","10.2",2014
"127","Le Sueur County, Minnesota","59.3","8.6",2014
"128","Lincoln County, Minnesota","58.8","7.7",2014
"129","Lyon County, Minnesota","50.8","7.7",2014
"130","McLeod County, Minnesota","58.4","8.4",2014
"131","Mahnomen County, Minnesota","46.6","10.7",2014
"132","Marshall County, Minnesota","60.6","9.3",2014
"133","Martin County, Minnesota","56.1","9.9",2014
"134","Meeker County, Minnesota","62.0","8.9",2014
"135","Mille Lacs County, Minnesota","52.4","12.8",2014
"136","Morrison County, Minnesota","57.1","9.5",2014
"137","Mower County, Minnesota","53.3","10.5",2014
"138","Murray County, Minnesota","61.7","9.3",2014
"139","Nicollet County, Minnesota","50.7","9.0",2014
"140","Nobles County, Minnesota","54.1","7.1",2014
"141","Norman County, Minnesota","55.4","10.8",2014
"142","Olmsted County, Minnesota","55.6","9.4",2014
"143","Otter Tail County, Minnesota","61.1","9.0",2014
"144","Pennington County, Minnesota","50.2","10.5",2014
"145","Pine County, Minnesota","52.6","13.6",2014
"146","Pipestone County, Minnesota","59.2","9.5",2014
"147","Polk County, Minnesota","53.2","9.8",2014
"148","Pope County, Minnesota","61.7","8.8",2014
"149","Ramsey County, Minnesota","44.1","10.3",2014
"150","Red Lake County, Minnesota","57.8","8.9",2014
"151","Redwood County, Minnesota","55.8","10.9",2014
"152","Renville County, Minnesota","58.0","9.5",2014
"153","Rice County, Minnesota","50.0","8.9",2014
"154","Rock County, Minnesota","58.8","9.4",2014
"155","Roseau County, Minnesota","59.0","10.0",2014
"156","St. Louis County, Minnesota","47.8","11.9",2014
"157","Scott County, Minnesota","61.2","8.9",2014
"158","Sherburne County, Minnesota","58.1","9.4",2014
"159","Sibley County, Minnesota","58.0","7.6",2014
"160","Stearns County, Minnesota","50.2","7.9",2014
"161","Steele County, Minnesota","56.3","10.8",2014
"162","Stevens County, Minnesota","51.1","7.8",2014
"163","Swift County, Minnesota","57.9","8.5",2014
"164","Todd County, Minnesota","58.9","9.6",2014
"165","Traverse County, Minnesota","61.3","8.9",2014
"166","Wabasha County, Minnesota","61.4","9.5",2014
"167","Wadena County, Minnesota","53.5","12.7",2014
"168","Waseca County, Minnesota","57.3","8.9",2014
"169","Washington County, Minnesota","58.0","9.5",2014
"170","Watonwan County, Minnesota","56.5","8.2",2014
"171","Wilkin County, Minnesota","58.4","11.2",2014
"172","Winona County, Minnesota","45.5","7.1",2014
"173","Wright County, Minnesota","60.4","8.9",2014
"174","Yellow Medicine County, Minnesota","58.7","8.1",2014
