"","CTYNAME","YEAR","TOTALMALE","TOTALFEMALE","AGE1519","AGE2024","AGE2529","AGE18ABOVE"
"96","Carlton County, Minnesota",2014,"18283","17147","6.1","5.4","5.7","76.6"
"97","Carver County, Minnesota",2014,"46728","47484","7.5","4.6","5.2","71.2"
"98","Cass County, Minnesota",2014,"14542","13957","5.6","4.5","4.5","78.7"
"99","Chippewa County, Minnesota",2014,"6055","6180","6.5","5.3","6.0","77.1"
"100","Chisago County, Minnesota",2014,"27799","25999","7.2","5.3","5.4","75.5"
"101","Clay County, Minnesota",2014,"29807","30442","9.0","11.6","7.0","76.9"
"102","Clearwater County, Minnesota",2014,"4424","4311","6.2","4.6","5.1","75.3"
"103","Cook County, Minnesota",2014,"2598","2599","3.7","4.7","4.8","84.1"
"104","Cottonwood County, Minnesota",2014,"5645","6031","6.0","5.4","4.5","76.4"
"105","Crow Wing County, Minnesota",2014,"31463","31437","5.8","5.3","5.4","77.4"
"106","Dakota County, Minnesota",2014,"199214","206307","6.8","5.5","6.6","74.4"
"107","Dodge County, Minnesota",2014,"10116","10130","7.4","5.1","5.3","72.1"
"108","Douglas County, Minnesota",2014,"18199","18214","5.7","5.6","5.7","78.6"
"109","Faribault County, Minnesota",2014,"7192","7145","6.4","4.5","5.0","78.6"
"110","Fillmore County, Minnesota",2014,"10394","10448","6.0","4.9","4.9","76.0"
"111","Freeborn County, Minnesota",2014,"15346","15688","5.7","5.4","5.2","78.1"
"112","Goodhue County, Minnesota",2014,"23190","23146","6.6","5.1","5.4","76.8"
"113","Grant County, Minnesota",2014,"2992","2985","5.6","4.5","4.8","78.7"
"114","Hennepin County, Minnesota",2014,"582534","601557","6.1","6.8","8.8","77.6"
"115","Houston County, Minnesota",2014,"9421","9438","6.4","4.8","4.9","78.1"
"116","Hubbard County, Minnesota",2014,"10286","10232","5.9","3.9","4.3","78.6"
"117","Isanti County, Minnesota",2014,"19245","18945","6.8","5.4","6.2","74.8"
"118","Itasca County, Minnesota",2014,"22904","22399","6.1","4.9","4.8","78.5"
"119","Jackson County, Minnesota",2014,"5184","5076","6.1","5.0","5.4","77.6"
"120","Kanabec County, Minnesota",2014,"8164","7920","6.4","4.9","5.1","77.3"
"121","Kandiyohi County, Minnesota",2014,"21353","20963","6.3","7.0","5.8","76.3"
"122","Kittson County, Minnesota",2014,"2245","2256","6.3","4.2","3.6","77.9"
"123","Koochiching County, Minnesota",2014,"6577","6561","6.1","4.3","4.7","79.9"
"124","Lac qui Parle County, Minnesota",2014,"3562","3534","6.0","3.6","4.2","79.1"
"125","Lake County, Minnesota",2014,"5468","5323","4.9","4.2","5.2","81.5"
"126","Lake of the Woods County, Minnesota",2014,"2057","1919","6.6","4.1","2.5","80.3"
"127","Le Sueur County, Minnesota",2014,"14045","13672","6.3","5.0","5.5","75.3"
"128","Lincoln County, Minnesota",2014,"2932","2889","5.5","4.2","4.5","77.9"
"129","Lyon County, Minnesota",2014,"12811","12913","7.6","8.9","6.8","75.6"
"130","McLeod County, Minnesota",2014,"17949","18223","6.3","5.3","5.8","75.5"
"131","Mahnomen County, Minnesota",2014,"2771","2715","6.0","6.0","5.0","69.7"
"132","Marshall County, Minnesota",2014,"4805","4642","6.2","4.4","5.2","76.9"
"133","Martin County, Minnesota",2014,"10116","10399","6.0","4.5","5.0","78.2"
"134","Meeker County, Minnesota",2014,"11752","11395","6.4","4.7","5.2","75.1"
"135","Mille Lacs County, Minnesota",2014,"12989","12902","6.4","5.1","5.8","75.2"
"136","Morrison County, Minnesota",2014,"16714","16340","6.5","5.1","5.5","76.0"
"137","Mower County, Minnesota",2014,"19654","19658","6.7","6.0","5.4","74.9"
"138","Murray County, Minnesota",2014,"4255","4331","6.2","3.9","4.4","78.5"
"139","Nicollet County, Minnesota",2014,"16454","16469","8.3","9.0","7.4","77.7"
"140","Nobles County, Minnesota",2014,"11031","10558","7.8","5.9","6.3","74.0"
"141","Norman County, Minnesota",2014,"3357","3368","7.1","4.2","4.1","76.8"
"142","Olmsted County, Minnesota",2014,"72094","75337","6.1","5.4","7.6","75.1"
"143","Otter Tail County, Minnesota",2014,"28772","28645","6.0","4.7","4.7","78.6"
"144","Pennington County, Minnesota",2014,"6974","7067","6.4","6.4","6.9","76.5"
"145","Pine County, Minnesota",2014,"15719","13628","5.6","5.0","5.7","78.7"
"146","Pipestone County, Minnesota",2014,"4614","4793","6.4","4.8","5.1","75.4"
"147","Polk County, Minnesota",2014,"16000","15630","7.1","6.9","6.2","76.5"
"148","Pope County, Minnesota",2014,"5570","5376","5.7","4.4","5.3","78.6"
"149","Ramsey County, Minnesota",2014,"253159","268106","6.9","8.2","8.6","76.7"
