"","CTYNAME","Citizen: Total","Citizen: US Born","Citizen: Puerto Rico/US Islands Born","Citizen: Born Abroad","Citizen: Naturalization","Not Citizen","YEAR"
"96","Carlton County, Minnesota","34958","34186","5","140","379","248",2010
"97","Carver County, Minnesota","88668","83297","19","334","2496","2522",2010
"98","Cass County, Minnesota","28648","28222","0","124","176","126",2010
"99","Chippewa County, Minnesota","12426","12016","0","39","101","270",2010
"100","Chisago County, Minnesota","52844","51738","19","243","541","303",2010
"101","Clay County, Minnesota","57089","54935","20","242","877","1015",2010
"102","Clearwater County, Minnesota","8593","8398","0","54","62","79",2010
"103","Cook County, Minnesota","5211","5070","0","52","48","41",2010
"104","Cottonwood County, Minnesota","11712","11185","0","38","178","311",2010
"105","Crow Wing County, Minnesota","61836","60989","2","175","387","283",2010
"106","Dakota County, Minnesota","393380","359076","763","2583","15036","15922",2010
"107","Dodge County, Minnesota","19829","19303","0","56","176","294",2010
"108","Douglas County, Minnesota","35909","35398","0","129","156","226",2010
"109","Faribault County, Minnesota","14819","14558","2","45","68","146",2010
"110","Fillmore County, Minnesota","20978","20616","0","122","119","121",2010
"111","Freeborn County, Minnesota","31387","30330","0","82","353","622",2010
"112","Goodhue County, Minnesota","45930","44804","3","130","325","668",2010
"113","Grant County, Minnesota","6082","5962","0","21","55","44",2010
"114","Hennepin County, Minnesota","1136522","984409","1311","7619","56920","86263",2010
"115","Houston County, Minnesota","19226","18886","3","104","127","106",2010
"116","Hubbard County, Minnesota","20205","19875","5","80","177","68",2010
"117","Isanti County, Minnesota","37682","37067","4","101","248","262",2010
"118","Itasca County, Minnesota","44835","44136","0","227","270","202",2010
"119","Jackson County, Minnesota","10403","10095","8","21","142","137",2010
"120","Kanabec County, Minnesota","16379","16164","0","83","61","71",2010
"121","Kandiyohi County, Minnesota","41869","39814","5","89","599","1362",2010
"122","Kittson County, Minnesota","4620","4454","0","25","108","33",2010
"123","Koochiching County, Minnesota","13461","12661","53","177","327","243",2010
"124","Lac qui Parle County, Minnesota","7343","7238","0","12","31","62",2010
"125","Lake County, Minnesota","10900","10609","0","91","138","62",2010
"126","Lake of the Woods County, Minnesota","4147","3960","15","70","91","11",2010
"127","Le Sueur County, Minnesota","27719","26962","26","69","263","399",2010
"128","Lincoln County, Minnesota","5935","5816","10","15","35","59",2010
"129","Lyon County, Minnesota","25606","24269","0","84","391","862",2010
"130","McLeod County, Minnesota","36789","35626","0","114","509","540",2010
"131","Mahnomen County, Minnesota","5359","5293","0","15","28","23",2010
"132","Marshall County, Minnesota","9580","9336","0","37","95","112",2010
"133","Martin County, Minnesota","20865","20423","0","111","132","199",2010
"134","Meeker County, Minnesota","23371","22971","0","44","93","263",2010
"135","Mille Lacs County, Minnesota","26075","25652","15","46","219","143",2010
"136","Morrison County, Minnesota","33093","32700","7","47","163","176",2010
"137","Mower County, Minnesota","38855","36090","6","101","472","2186",2010
"138","Murray County, Minnesota","8779","8627","6","25","69","52",2010
"139","Nicollet County, Minnesota","32271","31194","26","110","506","435",2010
"140","Nobles County, Minnesota","21030","17620","106","145","910","2249",2010
"141","Norman County, Minnesota","6865","6730","7","39","51","38",2010
"142","Olmsted County, Minnesota","141244","126922","135","882","6368","6937",2010
"143","Otter Tail County, Minnesota","57539","55755","47","210","485","1042",2010
"144","Pennington County, Minnesota","13862","13544","26","35","181","76",2010
"145","Pine County, Minnesota","29413","28834","12","117","205","245",2010
"146","Pipestone County, Minnesota","9570","9243","0","24","112","191",2010
"147","Polk County, Minnesota","31336","30386","22","209","349","370",2010
