"","CTYNAME","POPULATION","YEAR"
"149","Ramsey County, Minnesota","503113",2010
"150","Red Lake County, Minnesota","4094",2010
"151","Redwood County, Minnesota","16069",2010
"152","Renville County, Minnesota","16007",2010
"153","Rice County, Minnesota","63087",2010
"154","Rock County, Minnesota","9606",2010
"155","Roseau County, Minnesota","15864",2010
"156","St. Louis County, Minnesota","199472",2010
"157","Scott County, Minnesota","126139",2010
"158","Sherburne County, Minnesota","86823",2010
"159","Sibley County, Minnesota","15219",2010
"160","Stearns County, Minnesota","147927",2010
"161","Steele County, Minnesota","36434",2010
"162","Stevens County, Minnesota","9711",2010
"163","Swift County, Minnesota","9946",2010
"164","Todd County, Minnesota","24804",2010
"165","Traverse County, Minnesota","3657",2010
"166","Wabasha County, Minnesota","21743",2010
"167","Wadena County, Minnesota","13809",2010
"168","Waseca County, Minnesota","19168",2010
"169","Washington County, Minnesota","232536",2010
"170","Watonwan County, Minnesota","11212",2010
"171","Wilkin County, Minnesota","6636",2010
"172","Winona County, Minnesota","51304",2010
"173","Wright County, Minnesota","120764",2010
"174","Yellow Medicine County, Minnesota","10514",2010
