"","CTYNAME","YEAR","AGE1519","AGE2024","AGE2529","AGE18ABOVE"
"76","Swift County, Minnesota",2010,"7.2","4.1","5.6","77.6"
"77","Todd County, Minnesota",2010,"7.5","5.5","5.0","75.1"
"78","Traverse County, Minnesota",2010,"6.5","3.6","5.3","78.8"
"79","Wabasha County, Minnesota",2010,"6.9","5.0","5.1","76.2"
"80","Wadena County, Minnesota",2010,"7.4","4.6","4.8","76.5"
"81","Waseca County, Minnesota",2010,"6.5","5.1","6.9","76.3"
"82","Washington County, Minnesota",2010,"7.2","5.2","5.9","72.8"
"83","Watonwan County, Minnesota",2010,"7.1","5.1","5.6","75.1"
"84","Wilkin County, Minnesota",2010,"7.1","4.6","4.6","76.0"
"85","Winona County, Minnesota",2010,"10.7","14.4","6.1","80.1"
"86","Wright County, Minnesota",2010,"6.9","4.7","6.8","69.9"
"87","Yellow Medicine County, Minnesota",2010,"7.5","5.4","4.8","76.4"
"88","Aitkin County, Minnesota",2014,"4.9","3.4","3.8","82.4"
"89","Anoka County, Minnesota",2014,"6.8","5.8","6.4","74.9"
"90","Becker County, Minnesota",2014,"6.1","4.8","5.2","75.4"
"91","Beltrami County, Minnesota",2014,"8.4","10.3","6.3","74.8"
"92","Benton County, Minnesota",2014,"5.8","7.0","8.3","75.3"
"93","Big Stone County, Minnesota",2014,"5.3","4.4","4.2","79.4"
"94","Blue Earth County, Minnesota",2014,"8.9","15.9","8.2","80.5"
"95","Brown County, Minnesota",2014,"6.8","6.6","5.3","78.3"
"96","Carlton County, Minnesota",2014,"6.1","5.4","5.7","76.6"
"97","Carver County, Minnesota",2014,"7.5","4.6","5.2","71.2"
"98","Cass County, Minnesota",2014,"5.6","4.5","4.5","78.7"
"99","Chippewa County, Minnesota",2014,"6.5","5.3","6.0","77.1"
"100","Chisago County, Minnesota",2014,"7.2","5.3","5.4","75.5"
"101","Clay County, Minnesota",2014,"9.0","11.6","7.0","76.9"
"102","Clearwater County, Minnesota",2014,"6.2","4.6","5.1","75.3"
"103","Cook County, Minnesota",2014,"3.7","4.7","4.8","84.1"
"104","Cottonwood County, Minnesota",2014,"6.0","5.4","4.5","76.4"
"105","Crow Wing County, Minnesota",2014,"5.8","5.3","5.4","77.4"
"106","Dakota County, Minnesota",2014,"6.8","5.5","6.6","74.4"
"107","Dodge County, Minnesota",2014,"7.4","5.1","5.3","72.1"
"108","Douglas County, Minnesota",2014,"5.7","5.6","5.7","78.6"
"109","Faribault County, Minnesota",2014,"6.4","4.5","5.0","78.6"
"110","Fillmore County, Minnesota",2014,"6.0","4.9","4.9","76.0"
"111","Freeborn County, Minnesota",2014,"5.7","5.4","5.2","78.1"
"112","Goodhue County, Minnesota",2014,"6.6","5.1","5.4","76.8"
"113","Grant County, Minnesota",2014,"5.6","4.5","4.8","78.7"
"114","Hennepin County, Minnesota",2014,"6.1","6.8","8.8","77.6"
"115","Houston County, Minnesota",2014,"6.4","4.8","4.9","78.1"
