"","X1","CTYNAME","X1.x","VOTE_ELIGIBLE","OCC.Professional","OCC.Education","OCC.Information","OCC.Finance","OCC.Manufacturing","HIGHSCHOOL DEGREE","BACHELOR'S DEGREE","INCOME.HC01_EST_VC13","INCOME.HC01_EST_VC02","AGE2024_TOTAL","AGE2529_TOTAL","AGE2024_MALE","AGE2024_FEMALE","AGE2529_MALE","AGE2529_FEMALE","percent_citizen","percent_citizen_abroad","percent_citizen_naturalized","percent_citizen_not","percent_black","percent_white","percent_indian","percent_asian","YEAR.x","OCC.PublicAdmin","EMPLOY.HC04_EST_VC01","percent_female","X1.y","SOCIALCAP.assn2014","YEAR.y","median_income1000","predict.model.e3..newdata...current_data..allow.new.levels...TRUE.","Vote_Number","State"
"1",1,"aitkin",1,12854.5,0.0391891189739662,0.259318673653009,0.0119350732017823,0.032749156318312,0.0742224283227326,36.4000000000001,13.8000000000002,45429,7.25,3.60000000000001,3.45000000000002,3.65,3.55,3.20000000000002,3.59999999999999,0.987231909628612,0.00321841363687353,0.00612225939093652,0.00317076958256668,0.00399061541569803,0.960614796039205,0.0198936275373766,0.00334417502729131,2018,0.0647563500264923,6.25000000000011,0.492461686747896,1,2.10084033613445,2018,45.429,0.543597243881694,6987.67077147724,"Minnesota"
"2",2,"anoka",2,249925.600000001,0.0977428672122598,0.228625554965557,0.0161245858040941,0.0742504591971684,0.160234337853058,31.1066666666667,9.19333333333336,73691.5333333331,3.03333333333335,5.59333333333333,6,5.64666666666668,5.44666666666667,5.95333333333332,5.98666666666665,0.921814143338949,0.00663265235785632,0.0418363626491862,0.0288434332560006,0.0548263084090177,0.849671819346145,0.00688129045520799,0.0419980501867685,2018,0.0344483027707106,6.65333333333334,0.501148872018194,2,0.702284179293151,2018,73.6915333333331,0.502300520617719,125537.758995696,"Minnesota"
"3",3,"becker",3,24881.5,0.0549498209020101,0.261064250667015,0.0104715285953281,0.0313344953878412,0.130463268309035,40.4000000000001,7.84999999999991,56489.2000000002,5.92999999999998,4.95,5.1,4.95,5.09999999999999,4.90000000000001,5.39999999999999,0.977607903678266,0.00303255095522354,0.00637601331151572,0.0133105484940335,0.00456608898208921,0.868368138022352,0.0746277534274011,0.00489665951192045,2018,0.0421320730847864,3.29999999999995,0.498146390772217,3,2.10551645310714,2018,56.4892000000002,0.485748849948259,12086.1600099876,"Minnesota"
"4",4,"beltrami",4,34417.4000000001,0.0460123222960083,0.310010018305079,0.0162065117181814,0.0288132822077345,0.0822885505147708,21.2,7.8,44385.2000000001,7.05999999999989,10.2,6,10.35,10.05,6.5,5.60000000000002,0.977556066076427,0.00751221742888247,0.0089461605318592,0.00607691979645786,0.00897222121860509,0.723770956701895,0.207437393767627,0.00841385136855125,2018,0.0642986022990037,11.35,0.500932573161096,4,1.13977599018039,2018,44.3852000000001,0.474305610254094,16324.3659103593,"Minnesota"
"5",5,"benton",5,29028.2,0.0809492610603988,0.247050703773777,0.010499975467347,0.0504290657409723,0.133532937872502,30.3,7.45000000000005,52689.2000000001,6.34000000000002,5.29999999999995,7.44999999999999,5.5,5.20000000000005,7.39999999999998,7.59999999999997,0.964898239173956,0.00295060987289114,0.0149100513772491,0.0174542877226438,0.0262429840898607,0.928234191660978,0.00417790312535007,0.0109528146309509,2018,0.0316871221053866,5,0.500329437684633,5,1.44526991049469,2018,52.6892000000001,0.513056669200026,14893.1116048722,"Minnesota"
"6",6,"big stone",6,3985.5,0.0373531519365234,0.254512260941629,0.0106907894736842,0.0353576113965475,0.0962029698964333,28.05,6.75,49465.5,4.89999999999998,5.14999999999998,3.89999999999999,4.75000000000003,5.60000000000002,3.79999999999998,3.95,0.984719290920637,0.00452166040453783,0.00920243129876464,0.00211749273032419,0.00180194864514432,1.00150371345817,3.39397033611855e-05,5.22149282479456e-06,2018,0.0431988538295568,2.75,0.514516545362704,6,3.90243902439024,2018,49.4655,0.534725759936599,2131.14951622732,"Minnesota"
"7",7,"blue earth",7,52784.0000000002,0.0641862746792418,0.293026167923644,0.0273119571748511,0.0416664977204655,0.112745600748861,14.75,6.35000000000002,52575.4000000003,6.40999999999997,15.95,7.55,16.45,15.45,8.19999999999999,6.9,0.950808392771752,0.00768237407534933,0.0175482614066201,0.0236421000623118,0.0325710268408104,0.901655645083073,0.003956120447174,0.0202371771521987,2018,0.030045054863533,4.74999999999994,0.494984867645385,7,1.32830511321129,2018,52.5754000000003,0.448323649096805,23664.3154939258,"Minnesota"
"8",8,"brown",8,19487.6,0.0295145657475651,0.237688714299472,0.0209102999852224,0.0433558104808127,0.189085469650091,31.5999999999999,7.95000000000005,52473.7000000002,3.86999999999989,6.7,5.3,6.69999999999999,6.64999999999998,5.4,5.25,0.975287202399628,0.00450330745064567,0.0115001218164552,0.00849264055664725,0.00228909805605687,0.980467403629552,0.00222236723754576,0.00659280556188069,2018,0.0305866450588566,2.04999999999995,0.504442524168511,8,1.93752471332543,2018,52.4737000000002,0.515998762469323,10055.5774834972,"Minnesota"
"9",9,"carlton",9,27675.0000000001,0.058841288738666,0.27759597978442,0.0113319489765648,0.0475576240488722,0.116122979519243,34.7,3.05000000000007,55904.5000000002,6.86000000000005,5.70000000000002,5.6,6.44999999999999,4.75,5.45000000000002,5.65000000000001,0.988950089230948,0.00380600508949241,0.00418031925159812,0.00268387840024087,0.0147072508685382,0.887640913086127,0.0514325924396491,0.00604338760381526,2018,0.0844533821464855,4.10000000000014,0.480701398789951,9,1.49422046800113,2018,55.9045000000002,0.523451222209151,14486.5125746383,"Minnesota"
"10",10,"carver",10,67534.0666666667,0.130831712868634,0.224764123253487,0.0191632479580146,0.087857682092136,0.153316763978923,23.48,13.8799999999999,90993.1333333333,3.25333333333336,3.60000000000002,3.77999999999986,3.6600000000002,3.64000000000004,3.61333333333323,3.95333333333326,0.93671713802213,0.00516324938195517,0.030645692843051,0.0273551978074431,0.0130071714251147,0.926311046601195,0.00130542221432639,0.0281055259218284,2018,0.0260403868815482,4.58666666666667,0.504858957546501,10,1.06780565936999,2018,90.9931333333333,0.568223005198871,38374.4103146342,"Minnesota"
"11",11,"cass",11,22391.8,0.0695305195346301,0.240433550806209,0.013565416360219,0.0501010183176586,0.0859111657497291,36.6,3.00000000000006,49196.6000000001,6.4499999999999,4.7,4.14999999999998,4.45,4.80000000000001,4.09999999999999,4.19999999999999,0.988861793865788,0.00173672310455886,0.00548137081761249,0.00376270457473286,0.00350214620733743,0.851417102097353,0.111118934268686,0.00580946010918415,2018,0.0575818044491798,6.25000000000011,0.490831581154546,11,2.06589866591967,2018,49.1966000000001,0.558621903688307,12508.5499430078,"Minnesota"
"12",12,"chippewa",12,8932.5,0.0636505204061559,0.260300630725101,0.0131475974330881,0.0440102140565782,0.155300500407749,23.0500000000002,6.5,57824.5,2.34999999999991,5.49999999999999,6,5.2,5.75,7.34999999999997,4.65000000000001,0.949314268807627,0.00452154421667206,0.00810291577050215,0.0370775396320515,0.00541942938575685,0.936214952580603,0.014635051853265,0.00672257611546379,2018,0.0265811204062794,1.14999999999986,0.502225014906615,12,3.39263549855192,2018,57.8245,0.553287955875906,4942.24466586153,"Minnesota"
"13",13,"chisago",13,42324.6000000001,0.0760859649417316,0.257668543215949,0.00845581564144438,0.0490615121395798,0.152706053635376,35.3500000000001,4.6,74342.5000000005,3.50000000000006,5.60000000000002,5.14999999999998,5.95,5.15000000000003,5.8,4.34999999999997,0.980162231913503,0.00397536632088251,0.00826010867514343,0.00753154673812007,0.0123321500353731,0.947872447769202,0.00398481281123991,0.00700595500682291,2018,0.0441269452824382,5,0.484338877448664,13,0.945705384957721,2018,74.3425000000005,0.515663514243382,21825.2519749455,"Minnesota"
"14",14,"clay",14,47480.9000000001,0.0738681728181576,0.308341192066776,0.016816009557945,0.0653943211853156,0.0803121370707411,21.7,8.39999999999998,60786.1000000006,5.56,11.7,7.29999999999998,10.9,12.45,7.90000000000001,6.70000000000002,0.957617635295528,0.00510187024395117,0.0172623125721439,0.0194822517956479,0.0202586642189146,0.896633825302857,0.0121888964118789,0.0101712981196183,2018,0.0331434173342035,3.10000000000002,0.505084680694668,14,1.10964246666993,2018,60.7861000000006,0.451704971002059,21447.3585576517,"Minnesota"
"15",15,"clearwater",15,6613,0.0452278644323764,0.24559347723384,0.0113103448275862,0.0262406500134236,0.118124379019304,38.5,7.90000000000009,47100.5,8,4.8,4.75,5.05,4.70000000000002,4.80000000000001,4.75,0.985304409363332,0.00628145613791765,0.00455968986618505,0.00259817353132097,0.00329291082813838,0.855896750599631,0.0911284667310013,0.00452534358747009,2018,0.048453314741626,6.29999999999995,0.496635740655561,15,2.04638472032742,2018,47.1005,0.500600163502536,3310.46888124227,"Minnesota"
"16",16,"cook",16,4191.5,0.0462003323181133,0.204379777158344,0.0114433370247324,0.0218942727083515,0.0162934798257162,22.4500000000007,1.19999999999982,53168.5,6.10000000000002,5.35000000000002,4.40000000000001,5.29999999999998,5.39999999999998,4.05,4.80000000000001,0.91841407296052,0.0180416897132719,0.0163181855567882,0.0446343766179442,0.0028892422323612,0.869244807778162,0.0823573068321592,0.00921559164961683,2018,0.0570822074763102,2.30000000000007,0.497505185749019,16,2.29753015508329,2018,53.1685,0.549091420347646,2301.51668838716,"Minnesota"
"17",17,"cottonwood",17,8591.5,0.0549837673838018,0.268107043836562,0.011119347664937,0.0185534730112131,0.180669661303853,35.1999999999998,6.60000000000002,50936,7.39999999999998,6.14999999999998,4,5.25000000000001,7.04999999999995,4.75000000000006,3.29999999999995,0.949131849223186,0.00726979657633531,0.0213657743924595,0.022232579808019,0.00623854628368761,0.907693316434207,0.00467920587513326,0.0288475343028183,2018,0.0475376778221586,5.10000000000002,0.512147039264558,17,2.58866166192079,2018,50.936,0.499160060224485,4288.53365741867,"Minnesota"
