"","CONGDIST","Upper","Lower"
"1",1,270662.860120193,215298.413294264
"2",2,288084.336433455,228887.172504047
"3",3,404285.811778418,319283.076859647
"4",4,277147.596569136,215162.855871735
"5",5,274330.244710799,213912.21449179
"6",6,178600.962761281,142925.510761275
"7",7,283152.524340132,229205.248372748
"8",8,308023.88930282,251310.809302056
