"","YEAR","CTYNAME","TOTVOTERS","MIDTERM"
"194",2006,"morrison",13869,1
"195",2010,"morrison",12909,1
"196",2014,"morrison",13107,1
"197",2002,"mower",16489,1
"198",2006,"mower",16223,1
"199",2010,"mower",14365,1
"200",2014,"mower",11931,1
"201",2002,"murray",4767,1
"202",2006,"murray",4359,1
"203",2010,"murray",3818,1
"204",2014,"murray",3580,1
"205",2002,"nicollet",14651,1
"206",2006,"nicollet",14492,1
"207",2010,"nicollet",13380,1
"208",2014,"nicollet",11829,1
"209",2002,"nobles",8611,1
"210",2006,"nobles",7657,1
"211",2010,"nobles",6050,1
"212",2014,"nobles",6109,1
"213",2002,"norman",3376,1
"214",2006,"norman",2936,1
"215",2010,"norman",2693,1
"216",2014,"norman",2490,1
"217",2002,"olmsted",53662,1
"218",2006,"olmsted",56741,1
"219",2010,"olmsted",55647,1
"220",2014,"olmsted",50733,1
"221",2002,"otter tail",26500,1
"222",2006,"otter tail",25290,1
"223",2010,"otter tail",25178,1
"224",2014,"otter tail",22325,1
"225",2002,"pennington",5607,1
"226",2006,"pennington",5209,1
"227",2010,"pennington",4802,1
"228",2014,"pennington",5183,1
"229",2002,"pine",11472,1
"230",2006,"pine",11310,1
"231",2010,"pine",10995,1
"232",2014,"pine",10504,1
"233",2002,"pipestone",4630,1
"234",2006,"pipestone",4249,1
"235",2010,"pipestone",3618,1
"236",2014,"pipestone",3909,1
"237",2002,"polk",12863,1
"238",2006,"polk",12155,1
"239",2010,"polk",10889,1
"240",2014,"polk",9885,1
"241",2002,"pope",5739,1
"242",2006,"pope",5928,1
"243",2010,"pope",5299,1
"244",2014,"pope",4990,1
"245",2002,"ramsey",227380,1
"246",2006,"ramsey",209809,1
"247",2010,"ramsey",192955,1
"248",2014,"ramsey",181593,1
"249",2002,"red lake",1946,1
"250",2006,"red lake",1937,1
"251",2010,"red lake",1620,1
"252",2014,"red lake",1491,1
"253",2002,"redwood",7110,1
"254",2006,"redwood",6596,1
"255",2010,"redwood",6125,1
"256",2014,"redwood",5578,1
"257",2002,"renville",7459,1
"258",2006,"renville",6820,1
"259",2010,"renville",6364,1
"260",2014,"renville",5783,1
"261",2002,"rice",25161,1
"262",2006,"rice",24579,1
"263",2010,"rice",23478,1
"264",2014,"rice",21583,1
"265",2002,"rock",4597,1
"266",2006,"rock",4213,1
"267",2010,"rock",3706,1
"268",2014,"rock",3195,1
"269",2002,"roseau",6497,1
"270",2006,"roseau",6439,1
"271",2010,"roseau",6683,1
"272",2014,"roseau",5461,1
"273",2002,"scott",45225,1
