"CTYNAME","WHITE","BLACK","INDIAN","ASIAN","HAWAIIAN","OTHERS","YEAR","POPULATION 18-24","HIGHSCHOOL DEGREE","BACHELOR'S DEGREE","POPULATION >25","HIGHSCHOOL DEGREE >25","BACHELOR'S DEGREE >25","GRADUATE DEGREE >25","POVERTY RATE >25","Percent Married","Percent Divorced","EMPLOYMENT ESTIMATE","INCOME/BENEFITS","Citizen: Total","Citizen: US Born","Citizen: Puerto Rico/US Islands Born","Citizen: Born Abroad","Citizen: Naturalization","Not Citizen","AGE1519","AGE2024","AGE2529","AGE18ABOVE","POPULATION"
"Big Stone County, Minnesota",5084,14,13,2,0,7,2014,309,26.9,8.7,3803,42.6,14.3,4,30.4,63.8,7.8,4235,2316,5180,5110,1,23,35,11,5.3,4.4,4.2,79.4,5180
"Blue Earth County, Minnesota",59808,1970,234,1299,15,267,2014,14148,15.9,8.9,37926,29,20.9,9.4,27,45.5,6.8,51895,23889,64720,61721,14,417,1278,1290,9.6,17.2,7.5,80.6,64720
"Blue Earth County, Minnesota",59808,1970,234,1299,15,267,2014,14148,15.9,8.9,37926,29,20.9,9.4,27,45.5,6.8,51895,23889,64720,61721,14,417,1278,1290,8.9,15.9,8.2,80.5,64720
"Blue Earth County, Minnesota",59808,1970,234,1299,15,267,2014,14148,15.9,8.9,37926,29,20.9,9.4,27,45.5,6.8,53365,24719,64720,61721,14,417,1278,1290,9.6,17.2,7.5,80.6,64720
"Blue Earth County, Minnesota",59808,1970,234,1299,15,267,2014,14148,15.9,8.9,37926,29,20.9,9.4,27,45.5,6.8,53365,24719,64720,61721,14,417,1278,1290,8.9,15.9,8.2,80.5,64720
"Brown County, Minnesota",24882,99,29,99,16,193,2014,2473,26.7,4.9,17491,38.9,14.7,6.8,14.8,54.1,9.7,20946,10798,25513,25035,3,118,183,174,7.4,6.6,5.1,77.6,25513
"Brown County, Minnesota",24882,99,29,99,16,193,2014,2473,26.7,4.9,17491,38.9,14.7,6.8,14.8,54.1,9.7,20946,10798,25513,25035,3,118,183,174,6.8,6.6,5.3,78.3,25513
"Brown County, Minnesota",24882,99,29,99,16,193,2014,2473,26.7,4.9,17491,38.9,14.7,6.8,14.8,54.1,9.7,20596,10749,25513,25035,3,118,183,174,7.4,6.6,5.1,77.6,25513
"Brown County, Minnesota",24882,99,29,99,16,193,2014,2473,26.7,4.9,17491,38.9,14.7,6.8,14.8,54.1,9.7,20596,10749,25513,25035,3,118,183,174,6.8,6.6,5.3,78.3,25513
"Carlton County, Minnesota",31760,467,1933,232,5,92,2014,2692,37.6,3.8,24457,36.5,16.2,6.2,27.2,52.5,12.7,27641,13724,35430,34941,14,128,227,120,6.6,5.2,5.5,76.1,35430
"Carlton County, Minnesota",31760,467,1933,232,5,92,2014,2692,37.6,3.8,24457,36.5,16.2,6.2,27.2,52.5,12.7,27641,13724,35430,34941,14,128,227,120,6.1,5.4,5.7,76.6,35430
"Carlton County, Minnesota",31760,467,1933,232,5,92,2014,2692,37.6,3.8,24457,36.5,16.2,6.2,27.2,52.5,12.7,28059,13542,35430,34941,14,128,227,120,6.6,5.2,5.5,76.1,35430
"Carlton County, Minnesota",31760,467,1933,232,5,92,2014,2692,37.6,3.8,24457,36.5,16.2,6.2,27.2,52.5,12.7,28059,13542,35430,34941,14,128,227,120,6.1,5.4,5.7,76.6,35430
"Carver County, Minnesota",87324,1015,163,2485,74,1116,2014,6749,25.7,14.7,60296,21.2,32.2,12.9,18.2,62.7,7.8,64808,32202,94212,88535,2,433,2706,2536,7,4.6,5.5,69.8,94212
"Carver County, Minnesota",87324,1015,163,2485,74,1116,2014,6749,25.7,14.7,60296,21.2,32.2,12.9,18.2,62.7,7.8,64808,32202,94212,88535,2,433,2706,2536,7.5,4.6,5.2,71.2,94212
"Carver County, Minnesota",87324,1015,163,2485,74,1116,2014,6749,25.7,14.7,60296,21.2,32.2,12.9,18.2,62.7,7.8,70237,33813,94212,88535,2,433,2706,2536,7,4.6,5.5,69.8,94212
"Carver County, Minnesota",87324,1015,163,2485,74,1116,2014,6749,25.7,14.7,60296,21.2,32.2,12.9,18.2,62.7,7.8,70237,33813,94212,88535,2,433,2706,2536,7.5,4.6,5.2,71.2,94212
