GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC04_EST_VC02,HC04_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC04_EST_VC03,HC04_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC04_EST_VC04,HC04_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC04_EST_VC05,HC04_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC04_EST_VC06,HC04_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC04_EST_VC07,HC04_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC04_EST_VC08,HC04_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC04_EST_VC09,HC04_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC04_EST_VC10,HC04_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC04_EST_VC11,HC04_MOE_VC11,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC04_EST_VC13,HC04_MOE_VC13,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC04_EST_VC15,HC04_MOE_VC15,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC04_EST_VC18,HC04_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC04_EST_VC19,HC04_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC04_EST_VC20,HC04_MOE_VC20
Id,Id2,Geography,Households; Estimate; Total,Households; Margin of Error; Total,Families; Estimate; Total,Families; Margin of Error; Total,Married-couple families; Estimate; Total,Married-couple families; Margin of Error; Total,Nonfamily households; Estimate; Total,Nonfamily households; Margin of Error; Total,"Households; Estimate; Less than $10,000","Households; Margin of Error; Less than $10,000","Families; Estimate; Less than $10,000","Families; Margin of Error; Less than $10,000","Married-couple families; Estimate; Less than $10,000","Married-couple families; Margin of Error; Less than $10,000","Nonfamily households; Estimate; Less than $10,000","Nonfamily households; Margin of Error; Less than $10,000","Households; Estimate; $10,000 to $14,999","Households; Margin of Error; $10,000 to $14,999","Families; Estimate; $10,000 to $14,999","Families; Margin of Error; $10,000 to $14,999","Married-couple families; Estimate; $10,000 to $14,999","Married-couple families; Margin of Error; $10,000 to $14,999","Nonfamily households; Estimate; $10,000 to $14,999","Nonfamily households; Margin of Error; $10,000 to $14,999","Households; Estimate; $15,000 to $24,999","Households; Margin of Error; $15,000 to $24,999","Families; Estimate; $15,000 to $24,999","Families; Margin of Error; $15,000 to $24,999","Married-couple families; Estimate; $15,000 to $24,999","Married-couple families; Margin of Error; $15,000 to $24,999","Nonfamily households; Estimate; $15,000 to $24,999","Nonfamily households; Margin of Error; $15,000 to $24,999","Households; Estimate; $25,000 to $34,999","Households; Margin of Error; $25,000 to $34,999","Families; Estimate; $25,000 to $34,999","Families; Margin of Error; $25,000 to $34,999","Married-couple families; Estimate; $25,000 to $34,999","Married-couple families; Margin of Error; $25,000 to $34,999","Nonfamily households; Estimate; $25,000 to $34,999","Nonfamily households; Margin of Error; $25,000 to $34,999","Households; Estimate; $35,000 to $49,999","Households; Margin of Error; $35,000 to $49,999","Families; Estimate; $35,000 to $49,999","Families; Margin of Error; $35,000 to $49,999","Married-couple families; Estimate; $35,000 to $49,999","Married-couple families; Margin of Error; $35,000 to $49,999","Nonfamily households; Estimate; $35,000 to $49,999","Nonfamily households; Margin of Error; $35,000 to $49,999","Households; Estimate; $50,000 to $74,999","Households; Margin of Error; $50,000 to $74,999","Families; Estimate; $50,000 to $74,999","Families; Margin of Error; $50,000 to $74,999","Married-couple families; Estimate; $50,000 to $74,999","Married-couple families; Margin of Error; $50,000 to $74,999","Nonfamily households; Estimate; $50,000 to $74,999","Nonfamily households; Margin of Error; $50,000 to $74,999","Households; Estimate; $75,000 to $99,999","Households; Margin of Error; $75,000 to $99,999","Families; Estimate; $75,000 to $99,999","Families; Margin of Error; $75,000 to $99,999","Married-couple families; Estimate; $75,000 to $99,999","Married-couple families; Margin of Error; $75,000 to $99,999","Nonfamily households; Estimate; $75,000 to $99,999","Nonfamily households; Margin of Error; $75,000 to $99,999","Households; Estimate; $100,000 to $149,999","Households; Margin of Error; $100,000 to $149,999","Families; Estimate; $100,000 to $149,999","Families; Margin of Error; $100,000 to $149,999","Married-couple families; Estimate; $100,000 to $149,999","Married-couple families; Margin of Error; $100,000 to $149,999","Nonfamily households; Estimate; $100,000 to $149,999","Nonfamily households; Margin of Error; $100,000 to $149,999","Households; Estimate; $150,000 to $199,999","Households; Margin of Error; $150,000 to $199,999","Families; Estimate; $150,000 to $199,999","Families; Margin of Error; $150,000 to $199,999","Married-couple families; Estimate; $150,000 to $199,999","Married-couple families; Margin of Error; $150,000 to $199,999","Nonfamily households; Estimate; $150,000 to $199,999","Nonfamily households; Margin of Error; $150,000 to $199,999","Households; Estimate; $200,000 or more","Households; Margin of Error; $200,000 or more","Families; Estimate; $200,000 or more","Families; Margin of Error; $200,000 or more","Married-couple families; Estimate; $200,000 or more","Married-couple families; Margin of Error; $200,000 or more","Nonfamily households; Estimate; $200,000 or more","Nonfamily households; Margin of Error; $200,000 or more",Households; Estimate; Median income (dollars),Households; Margin of Error; Median income (dollars),Families; Estimate; Median income (dollars),Families; Margin of Error; Median income (dollars),Married-couple families; Estimate; Median income (dollars),Married-couple families; Margin of Error; Median income (dollars),Nonfamily households; Estimate; Median income (dollars),Nonfamily households; Margin of Error; Median income (dollars),Households; Estimate; Mean income (dollars),Households; Margin of Error; Mean income (dollars),Families; Estimate; Mean income (dollars),Families; Margin of Error; Mean income (dollars),Married-couple families; Estimate; Mean income (dollars),Married-couple families; Margin of Error; Mean income (dollars),Nonfamily households; Estimate; Mean income (dollars),Nonfamily households; Margin of Error; Mean income (dollars),Households; Estimate; PERCENT ALLOCATED - Household income in the past 12 months,Households; Margin of Error; PERCENT ALLOCATED - Household income in the past 12 months,Families; Estimate; PERCENT ALLOCATED - Household income in the past 12 months,Families; Margin of Error; PERCENT ALLOCATED - Household income in the past 12 months,Married-couple families; Estimate; PERCENT ALLOCATED - Household income in the past 12 months,Married-couple families; Margin of Error; PERCENT ALLOCATED - Household income in the past 12 months,Nonfamily households; Estimate; PERCENT ALLOCATED - Household income in the past 12 months,Nonfamily households; Margin of Error; PERCENT ALLOCATED - Household income in the past 12 months,Households; Estimate; PERCENT ALLOCATED - Family income in the past 12 months,Households; Margin of Error; PERCENT ALLOCATED - Family income in the past 12 months,Families; Estimate; PERCENT ALLOCATED - Family income in the past 12 months,Families; Margin of Error; PERCENT ALLOCATED - Family income in the past 12 months,Married-couple families; Estimate; PERCENT ALLOCATED - Family income in the past 12 months,Married-couple families; Margin of Error; PERCENT ALLOCATED - Family income in the past 12 months,Nonfamily households; Estimate; PERCENT ALLOCATED - Family income in the past 12 months,Nonfamily households; Margin of Error; PERCENT ALLOCATED - Family income in the past 12 months,Households; Estimate; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Households; Margin of Error; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Families; Estimate; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Families; Margin of Error; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Married-couple families; Estimate; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Married-couple families; Margin of Error; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Nonfamily households; Estimate; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Nonfamily households; Margin of Error; PERCENT ALLOCATED - Nonfamily income in the past 12 months
0500000US27003,27003,"Anoka County, Minnesota",127305,1201,90178,2621,72015,2783,37127,2573,1.8,0.5,0.6,0.3,0.2,0.2,5.2,1.5,2.3,0.6,1.1,0.5,0.7,0.4,5.3,1.6,5.3,0.8,2.7,0.7,1.5,0.5,12.9,2.6,6.9,1.1,5.0,1.0,3.2,1.0,14.8,3.2,11.4,1.2,9.6,1.4,8.0,1.4,16.1,2.8,19.5,1.6,17.9,1.9,15.8,2.2,22.7,3.1,17.7,1.5,19.7,1.8,21.0,2.1,12.5,2.5,20.1,1.6,24.8,2.0,27.7,2.3,6.2,1.7,9.4,1.4,11.6,1.7,13.5,1.9,2.3,1.2,5.6,0.9,7.1,1.3,8.3,1.5,1.8,1.0,79169,2396,91035,2134,99127,3334,44046,4872,94425,3017,107216,3470,N,N,57656,5970,26.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),26.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),22.6,(X)
0500000US27013,27013,"Blue Earth County, Minnesota",26098,889,15154,866,N,N,10944,1156,4.9,1.7,1.1,1.2,N,N,11.0,4.0,4.1,1.9,4.1,3.2,N,N,4.3,1.9,10.4,2.8,4.4,2.6,N,N,22.4,6.0,13.2,3.2,9.4,3.3,N,N,17.4,5.1,11.6,2.7,8.3,3.1,N,N,16.9,5.2,17.2,2.8,20.1,4.2,N,N,12.2,3.0,13.2,2.4,15.2,3.1,N,N,9.1,3.4,17.3,2.9,25.0,4.2,N,N,5.1,2.9,3.8,1.2,6.0,2.3,N,N,0.2,0.3,4.2,1.2,6.4,1.7,N,N,1.3,1.3,56716,5416,78817,7564,94569,8591,30000,5940,75534,4626,95622,6739,N,N,43492,4716,37.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),32.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),39.2,(X)
0500000US27019,27019,"Carver County, Minnesota",35721,1048,26972,1524,N,N,8749,1183,2.3,1.0,1.3,1.0,N,N,5.5,3.0,2.9,1.2,0.5,0.7,N,N,10.4,4.8,3.5,1.2,2.4,1.1,N,N,7.3,3.7,3.1,1.0,0.9,0.6,N,N,9.8,3.8,7.5,1.6,5.8,2.0,N,N,14.4,4.0,14.0,2.7,12.1,2.4,N,N,19.4,6.7,16.1,3.0,15.0,2.6,N,N,19.7,8.6,22.5,2.8,27.9,3.6,N,N,8.0,3.4,13.4,2.6,15.3,3.2,N,N,3.0,2.2,14.8,2.1,18.8,2.8,N,N,2.3,2.2,101271,6215,116941,5685,121732,6297,53974,12517,127074,7560,146834,9680,N,N,62012,7213,25.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),25.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),21.9,(X)
0500000US27037,27037,"Dakota County, Minnesota",160590,1375,112916,2644,87693,2741,47674,2476,3.4,0.7,1.6,0.8,0.3,0.2,8.4,1.9,2.0,0.6,1.1,0.6,0.3,0.3,4.6,1.7,5.7,1.0,3.2,1.0,1.3,0.6,13.0,2.4,7.2,1.0,5.0,1.0,3.2,1.0,13.2,2.5,11.0,1.3,9.3,1.3,7.0,1.2,15.8,2.7,16.8,1.3,14.2,1.4,12.1,1.3,23.3,2.6,14.8,1.3,16.3,1.7,16.3,1.7,9.7,2.1,19.4,1.3,23.6,1.7,27.4,2.0,7.6,1.7,10.6,1.1,13.7,1.4,17.1,1.7,2.4,0.9,9.2,0.9,11.9,1.2,15.1,1.5,1.9,1.0,80832,1758,98242,3360,113877,3276,44944,3196,102714,3110,120094,3865,137453,4681,54416,3114,27.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),28.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),23.7,(X)
0500000US27053,27053,"Hennepin County, Minnesota",507728,3356,290446,4979,224797,4212,217282,5407,4.8,0.4,2.3,0.4,0.6,0.2,8.8,0.9,3.2,0.4,1.3,0.4,0.6,0.3,5.9,0.8,7.0,0.6,4.1,0.7,2.3,0.5,11.1,1.0,7.2,0.5,4.7,0.6,3.6,0.6,10.8,1.0,11.3,0.7,9.0,0.9,6.5,0.8,14.9,1.2,16.6,0.7,14.9,0.9,13.0,1.0,19.3,1.3,12.6,0.7,12.6,0.8,12.8,0.9,11.9,1.0,16.6,0.7,21.7,1.1,24.6,1.3,9.3,0.9,9.0,0.6,12.1,0.9,14.5,1.0,4.4,0.7,11.5,0.7,17.2,1.2,21.4,1.5,3.5,0.5,74592,1454,101224,1449,117235,2164,48241,1845,106391,1876,134220,3280,154349,4078,66364,2715,29.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),30.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),26.0,(X)
0500000US27109,27109,"Olmsted County, Minnesota",61873,1343,41774,1689,N,N,20099,1602,4.2,1.4,2.5,1.2,N,N,8.4,3.0,2.3,1.2,1.2,1.0,N,N,4.6,2.5,6.7,1.7,2.9,1.2,N,N,15.8,4.2,6.7,1.7,4.8,1.6,N,N,13.1,3.6,9.2,1.2,8.0,1.6,N,N,11.4,2.7,18.9,2.1,16.6,2.0,N,N,22.2,4.0,14.4,2.2,15.3,2.5,N,N,12.2,3.4,21.5,2.5,26.9,3.1,N,N,8.1,2.6,8.1,1.4,10.9,1.9,N,N,2.6,1.3,7.9,1.3,10.9,1.7,N,N,1.5,1.0,77270,3359,98580,3537,109405,6049,43891,6968,98220,4474,117605,5509,N,N,54788,4568,25.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),26.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),24.0,(X)
0500000US27123,27123,"Ramsey County, Minnesota",211123,2185,125048,3075,92053,2821,86075,3318,5.6,0.8,3.9,0.9,1.4,0.7,9.9,1.5,4.2,0.6,2.4,0.7,0.8,0.4,7.2,1.3,8.4,0.9,5.2,1.0,3.2,0.9,13.8,1.9,9.2,1.0,7.5,1.4,4.7,1.3,11.8,1.6,12.7,1.0,10.2,1.4,7.6,1.2,16.5,1.8,18.5,1.1,16.5,1.4,15.4,1.7,21.0,1.9,12.9,1.1,14.7,1.5,17.3,1.8,9.4,1.7,15.2,1.0,20.2,1.5,24.8,2.0,6.9,1.2,6.8,0.7,10.0,1.1,12.5,1.4,1.7,0.6,6.5,0.7,9.5,1.2,12.4,1.5,1.8,0.5,61962,1457,81585,2991,99275,4523,41471,2194,85297,2445,104742,3994,123533,5033,52973,3207,29.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),31.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),25.5,(X)
0500000US27131,27131,"Rice County, Minnesota",23130,844,15979,1017,N,N,7151,714,5.9,1.9,2.4,2.0,N,N,13.5,5.8,4.0,2.2,2.3,2.2,N,N,9.7,5.4,9.0,2.7,6.7,3.8,N,N,14.3,4.9,9.3,2.6,9.2,3.6,N,N,12.2,4.8,10.6,2.6,10.1,3.5,N,N,14.3,5.7,19.9,3.0,17.2,3.8,N,N,23.5,6.0,15.9,3.3,19.8,4.2,N,N,2.9,2.5,16.0,2.7,20.6,3.8,N,N,6.4,3.0,4.4,1.4,5.6,1.9,N,N,0.8,0.8,5.0,1.5,6.1,1.9,N,N,2.6,2.0,64014,4550,77576,5255,87938,7337,35263,6686,77416,4547,89043,5671,N,N,47521,6718,30.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),28.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),34.8,(X)
0500000US27137,27137,"St. Louis County, Minnesota",85213,1610,47792,1841,37481,1678,37421,1863,6.6,1.1,2.5,0.9,0.7,0.5,12.4,2.3,4.8,0.8,2.6,0.9,1.7,0.8,8.6,1.6,12.3,1.7,4.8,1.2,3.3,1.1,22.2,3.4,9.8,1.3,7.4,1.7,5.0,1.3,13.1,2.1,13.8,1.4,11.8,1.9,9.8,1.9,16.8,2.5,19.8,1.9,23.0,2.2,22.8,2.6,15.4,2.9,13.5,1.5,18.5,2.5,21.1,2.8,5.9,1.3,12.7,1.7,19.4,2.7,23.2,3.0,3.4,1.0,3.5,0.6,5.0,1.0,6.3,1.3,1.3,0.9,3.2,0.9,4.9,1.4,6.1,1.8,0.9,0.5,52890,3050,72469,3049,83126,3210,29948,2886,68629,3979,87999,5022,N,N,41544,3278,32.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),31.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),31.9,(X)
