"","CTYNAME","Citizen: Total","Citizen: US Born","Citizen: Puerto Rico/US Islands Born","Citizen: Born Abroad","Citizen: Naturalization","Not Citizen","YEAR"
"94","Scott County, Minnesota","130689","118765","122","687","5665","5450",2012
"95","Sherburne County, Minnesota","88558","85838","10","264","1153","1293",2012
"96","Sibley County, Minnesota","15189","14549","0","38","109","493",2012
"97","Stearns County, Minnesota","150307","143256","81","454","2943","3573",2012
"98","Steele County, Minnesota","36524","35053","0","148","699","624",2012
"99","Stevens County, Minnesota","9712","9344","0","35","37","296",2012
"100","Swift County, Minnesota","9764","9533","12","19","59","141",2012
"101","Todd County, Minnesota","24783","23725","0","167","311","580",2012
"102","Traverse County, Minnesota","3549","3502","0","3","22","22",2012
"103","Wabasha County, Minnesota","21636","21235","32","85","150","134",2012
"104","Wadena County, Minnesota","13808","13624","0","58","55","71",2012
"105","Waseca County, Minnesota","19089","18429","26","105","70","459",2012
"106","Washington County, Minnesota","238721","223077","229","1093","8522","5800",2012
"107","Watonwan County, Minnesota","11177","9834","0","97","131","1115",2012
"108","Wilkin County, Minnesota","6584","6523","2","19","29","11",2012
"109","Winona County, Minnesota","51481","49545","12","229","774","921",2012
"110","Wright County, Minnesota","124737","121429","25","251","1516","1516",2012
"111","Yellow Medicine County, Minnesota","10357","10162","6","16","84","89",2012
"112","Aitkin County, Minnesota","15722","15504","2","61","98","57",2016
"113","Anoka County, Minnesota","341249","313854","204","2267","14501","10423",2016
"114","Becker County, Minnesota","33375","32681","1","114","250","329",2016
"115","Beltrami County, Minnesota","45644","44509","0","299","399","437",2016
"116","Benton County, Minnesota","39457","38172","4","128","535","618",2016
"117","Big Stone County, Minnesota","5098","5033","0","17","34","14",2016
"118","Blue Earth County, Minnesota","65524","62373","30","414","1066","1641",2016
"119","Brown County, Minnesota","25327","24681","4","109","288","245",2016
"120","Carlton County, Minnesota","35482","34943","9","142","227","161",2016
"121","Carver County, Minnesota","97143","91727","53","483","2544","2336",2016
"122","Cass County, Minnesota","28633","28274","3","70","159","127",2016
"123","Chippewa County, Minnesota","12126","11571","4","58","96","397",2016
"124","Chisago County, Minnesota","54041","52977","5","209","498","352",2016
"125","Clay County, Minnesota","61402","58825","35","262","1022","1258",2016
"126","Clearwater County, Minnesota","8764","8606","8","56","48","46",2016
"127","Cook County, Minnesota","5215","4871","9","89","75","171",2016
"128","Cottonwood County, Minnesota","11557","10962","0","80","213","302",2016
"129","Crow Wing County, Minnesota","63321","62127","0","232","596","366",2016
"130","Dakota County, Minnesota","411402","371166","629","2901","20179","16527",2016
"131","Dodge County, Minnesota","20361","19852","46","37","144","282",2016
"132","Douglas County, Minnesota","36862","36268","1","179","304","110",2016
"133","Faribault County, Minnesota","14119","13763","2","38","121","195",2016
"134","Fillmore County, Minnesota","20877","20488","2","115","81","191",2016
"135","Freeborn County, Minnesota","30751","29421","0","128","397","805",2016
"136","Goodhue County, Minnesota","46450","44834","12","173","541","890",2016
"137","Grant County, Minnesota","5943","5867","0","12","39","25",2016
"138","Hennepin County, Minnesota","1209265","1035472","801","10440","78790","83762",2016
"139","Houston County, Minnesota","18791","18508","19","66","145","53",2016
"140","Hubbard County, Minnesota","20640","20252","4","100","153","131",2016
"141","Isanti County, Minnesota","38461","37725","3","184","322","227",2016
"142","Itasca County, Minnesota","45356","44713","4","181","295","163",2016
"143","Jackson County, Minnesota","10163","9927","5","14","43","174",2016
"144","Kanabec County, Minnesota","15918","15743","0","29","60","86",2016
"145","Kandiyohi County, Minnesota","42510","39367","25","106","991","2021",2016
"146","Kittson County, Minnesota","4436","4327","0","19","55","35",2016
"147","Koochiching County, Minnesota","12930","11902","0","309","401","318",2016
"148","Lac qui Parle County, Minnesota","6916","6782","0","22","45","67",2016
"149","Lake County, Minnesota","10721","10398","0","67","120","136",2016
"150","Lake of the Woods County, Minnesota","3901","3775","0","65","9","52",2016
"151","Le Sueur County, Minnesota","27650","26753","9","109","201","578",2016
"152","Lincoln County, Minnesota","5793","5743","4","5","31","10",2016
"153","Lyon County, Minnesota","25670","23985","0","48","538","1099",2016
"154","McLeod County, Minnesota","35926","34655","11","64","378","818",2016
"155","Mahnomen County, Minnesota","5480","5422","10","5","30","13",2016
"156","Marshall County, Minnesota","9406","9216","0","26","79","85",2016
"157","Martin County, Minnesota","20193","19638","2","73","160","320",2016
"158","Meeker County, Minnesota","23094","22545","1","37","162","349",2016
"159","Mille Lacs County, Minnesota","25788","25209","15","170","272","122",2016
"160","Morrison County, Minnesota","32850","32434","16","93","158","149",2016
"161","Mower County, Minnesota","39248","35847","23","219","936","2223",2016
"162","Murray County, Minnesota","8463","8203","4","46","51","159",2016
"163","Nicollet County, Minnesota","33226","31702","0","167","508","849",2016
"164","Nobles County, Minnesota","21729","17185","20","117","1112","3295",2016
"165","Norman County, Minnesota","6638","6486","4","31","37","80",2016
"166","Olmsted County, Minnesota","150104","132895","228","1124","7862","7995",2016
"167","Otter Tail County, Minnesota","57694","55885","41","396","540","832",2016
"168","Pennington County, Minnesota","14156","13856","0","56","139","105",2016
"169","Pine County, Minnesota","29067","28410","13","153","253","238",2016
"170","Pipestone County, Minnesota","9285","8928","4","10","108","235",2016
"171","Polk County, Minnesota","31550","30355","10","211","360","614",2016
"172","Pope County, Minnesota","10975","10844","8","16","59","48",2016
"173","Ramsey County, Minnesota","531528","446177","701","4400","40236","40014",2016
"174","Red Lake County, Minnesota","4042","3982","0","12","20","28",2016
"175","Redwood County, Minnesota","15578","15174","3","55","144","202",2016
"176","Renville County, Minnesota","14995","14557","2","30","132","274",2016
"177","Rice County, Minnesota","65116","59829","103","348","1301","3535",2016
"178","Rock County, Minnesota","9554","9375","0","10","63","106",2016
"179","Roseau County, Minnesota","15609","14954","0","86","312","257",2016
"180","St. Louis County, Minnesota","200353","194685","140","1150","2456","1922",2016
"181","Scott County, Minnesota","139490","127327","29","975","6400","4759",2016
"182","Sherburne County, Minnesota","91188","88133","24","431","1335","1265",2016
"183","Sibley County, Minnesota","14957","14207","0","24","222","504",2016
"184","Stearns County, Minnesota","153661","144294","106","675","3233","5353",2016
"185","Steele County, Minnesota","36541","34949","6","326","752","508",2016
"186","Stevens County, Minnesota","9762","9272","2","81","118","289",2016
"187","Swift County, Minnesota","9483","9246","35","27","68","107",2016
"188","Todd County, Minnesota","24335","23389","4","84","216","642",2016
"189","Traverse County, Minnesota","3397","3320","0","15","27","35",2016
"190","Wabasha County, Minnesota","21327","20935","20","83","113","176",2016
"191","Wadena County, Minnesota","13755","13527","4","116","81","27",2016
"192","Waseca County, Minnesota","19034","18286","12","93","285","358",2016
"193","Washington County, Minnesota","248745","230861","157","1512","9955","6260",2016
"194","Watonwan County, Minnesota","10996","9666","0","105","289","936",2016
"195","Wilkin County, Minnesota","6479","6425","3","20","22","9",2016
"196","Winona County, Minnesota","51145","49020","30","246","759","1090",2016
"197","Wright County, Minnesota","129922","125667","0","512","2163","1580",2016
"198","Yellow Medicine County, Minnesota","10038","9869","0","20","73","76",2016
"199","Anoka County, Minnesota","351373","315783","51","3394","19090","13055",2017
"200","Blue Earth County, Minnesota","66973","63147","0","332","1476","2018",2017
"201","Carver County, Minnesota","102119","97250","0","944","2786","1139",2017
"202","Dakota County, Minnesota","421751","375311","1024","2801","26714","15901",2017
"203","Hennepin County, Minnesota","1252024","1061033","1067","10550","95186","84188",2017
"204","Olmsted County, Minnesota","154930","135540","204","1181","8203","9802",2017
"205","Ramsey County, Minnesota","547974","450896","253","4017","45859","46949",2017
"206","Rice County, Minnesota","65968","60591","0","154","1668","3555",2017
"207","St. Louis County, Minnesota","200000","193599","54","1173","2742","2432",2017
"208","Scott County, Minnesota","145827","130163","139","1124","9633","4768",2017
"209","Sherburne County, Minnesota","94570","90273","0","816","2502","979",2017
"210","Stearns County, Minnesota","157822","145973","4","411","2175","9259",2017
"211","Washington County, Minnesota","256348","236466","447","1580","12366","5489",2017
"212","Wright County, Minnesota","134286","130074","0","906","2344","962",2017
