"","CTYNAME","YEAR","TOTALMALE","TOTALFEMALE","AGE1519","AGE2024","AGE2529","AGE18ABOVE"
"75","Murray County, Minnesota",2012,"4301","4389","6.3","3.8","4.4","78.3"
"76","Nicollet County, Minnesota",2012,"16328","16361","8.3","10.9","7.2","77.6"
"77","Nobles County, Minnesota",2012,"10833","10516","7.1","6.5","7.0","74.2"
"78","Norman County, Minnesota",2012,"3409","3387","6.8","3.6","4.5","76.1"
"79","Olmsted County, Minnesota",2012,"70814","73693","6.2","5.7","7.9","74.9"
"80","Otter Tail County, Minnesota",2012,"28702","28679","6.2","4.7","4.9","78.4"
"81","Pennington County, Minnesota",2012,"6855","7095","6.8","6.3","6.5","76.3"
"82","Pine County, Minnesota",2012,"15810","13754","6.0","4.9","6.1","78.1"
"83","Pipestone County, Minnesota",2012,"4662","4874","6.8","4.6","5.5","75.3"
"84","Polk County, Minnesota",2012,"15889","15537","7.5","7.1","5.8","76.6"
"85","Pope County, Minnesota",2012,"5567","5411","5.9","4.5","5.4","78.9"
"86","Ramsey County, Minnesota",2012,"247785","263100","7.3","8.6","8.5","76.7"
"87","Red Lake County, Minnesota",2012,"2084","2016","5.2","5.0","5.9","75.6"
"88","Redwood County, Minnesota",2012,"7999","8007","6.9","4.4","5.1","75.4"
"89","Renville County, Minnesota",2012,"7944","7709","6.4","4.8","4.8","77.0"
"90","Rice County, Minnesota",2012,"32741","31430","9.1","10.0","5.9","76.7"
"91","Rock County, Minnesota",2012,"4729","4891","6.6","4.2","4.9","74.7"
"92","Roseau County, Minnesota",2012,"8008","7657","7.4","4.3","4.9","73.9"
"93","St. Louis County, Minnesota",2012,"100346","99804","7.5","8.9","6.0","80.4"
"94","Scott County, Minnesota",2012,"65044","65645","7.0","4.4","6.1","70.0"
"95","Sherburne County, Minnesota",2012,"45110","43448","7.2","6.0","6.6","71.0"
"96","Sibley County, Minnesota",2012,"7664","7525","6.6","4.5","5.3","74.7"
"97","Stearns County, Minnesota",2012,"75912","74395","8.9","10.9","6.8","77.0"
"98","Steele County, Minnesota",2012,"17974","18550","6.4","5.3","6.0","73.8"
"99","Stevens County, Minnesota",2012,"4804","4908","9.5","12.6","5.7","79.1"
"100","Swift County, Minnesota",2012,"5024","4740","6.5","4.8","4.9","78.5"
"101","Todd County, Minnesota",2012,"12641","12142","7.4","5.0","5.1","75.2"
"102","Traverse County, Minnesota",2012,"1800","1749","6.4","3.4","5.3","78.8"
"103","Wabasha County, Minnesota",2012,"10820","10816","6.6","4.8","5.3","76.6"
"104","Wadena County, Minnesota",2012,"6787","7021","6.9","4.8","5.2","76.0"
"105","Waseca County, Minnesota",2012,"9158","9931","6.0","5.1","6.6","76.4"
"106","Washington County, Minnesota",2012,"118190","120531","7.2","5.0","6.0","73.5"
"107","Watonwan County, Minnesota",2012,"5627","5550","6.8","4.6","6.1","75.0"
"108","Wilkin County, Minnesota",2012,"3329","3255","6.7","4.5","4.9","75.7"
"109","Winona County, Minnesota",2012,"25264","26217","10.4","14.6","6.0","80.8"
"110","Wright County, Minnesota",2012,"62838","61899","6.9","4.5","6.4","70.2"
"111","Yellow Medicine County, Minnesota",2012,"5288","5069","6.9","5.1","5.3","76.7"
"112","Aitkin County, Minnesota",2016,"8016","7706","4.9","3.6","3.5","82.8"
"113","Anoka County, Minnesota",2016,"170762","170487","6.6","5.9","6.3","75.5"
"114","Becker County, Minnesota",2016,"16693","16682","6.2","5.0","5.1","75.4"
"115","Beltrami County, Minnesota",2016,"22773","22871","8.2","10.2","6.2","74.7"
"116","Benton County, Minnesota",2016,"19736","19721","5.6","6.0","7.8","75.4"
"117","Big Stone County, Minnesota",2016,"2494","2604","5.1","5.0","3.9","79.3"
"118","Blue Earth County, Minnesota",2016,"32979","32545","8.9","16.6","7.2","80.4"
"119","Brown County, Minnesota",2016,"12563","12764","6.7","6.7","5.2","78.3"
"120","Carlton County, Minnesota",2016,"18491","16991","6.0","5.6","5.5","77.2"
"121","Carver County, Minnesota",2016,"48209","48934","7.6","5.1","4.8","72.1"
"122","Cass County, Minnesota",2016,"14588","14045","5.3","4.7","4.2","78.7"
