"","CTYNAME","YEAR","TOTALMALE","TOTALFEMALE","AGE2024_TOTAL","AGE2024_MALE","AGE2024_FEMALE","AGE2529_TOTAL","AGE2529_MALE","AGE2529_FEMALE","AGE18ABOVE"
"50","Grant County, Minnesota",2010,"3049","3033","4.7","4.9","4.5","5.1","5.7","4.6","78.4"
"51","Hennepin County, Minnesota",2010,"558750","577772","7.4","7.5","7.3","8.7","8.8","8.5","77.1"
"52","Houston County, Minnesota",2010,"9433","9793","4.6","4.9","4.3","5.0","5.4","4.6","76.1"
"53","Hubbard County, Minnesota",2010,"10151","10054","4.0","4.2","3.8","4.4","4.5","4.2","77.8"
"54","Isanti County, Minnesota",2010,"19037","18645","5.9","6.1","5.7","6.6","6.7","6.5","73.4"
"55","Itasca County, Minnesota",2010,"22509","22326","4.8","5.0","4.6","4.9","5.1","4.8","78.0"
"56","Jackson County, Minnesota",2010,"5230","5173","4.8","5.5","4.0","4.7","4.9","4.4","77.3"
"57","Kanabec County, Minnesota",2010,"8279","8100","4.8","5.0","4.5","5.1","5.4","4.8","75.8"
"58","Kandiyohi County, Minnesota",2010,"21072","20797","6.7","7.1","6.3","5.9","6.3","5.5","75.8"
"59","Kittson County, Minnesota",2010,"2339","2281","4.1","4.1","4.1","3.8","4.2","3.3","78.8"
"60","Koochiching County, Minnesota",2010,"6722","6739","4.4","5.0","3.7","4.9","4.6","5.2","78.6"
"61","Lac qui Parle County, Minnesota",2010,"3669","3674","3.8","4.4","3.2","4.1","4.9","3.3","79.0"
"62","Lake County, Minnesota",2010,"5487","5413","4.4","4.6","4.3","4.5","4.8","4.2","81.3"
"63","Lake of the Woods County, Minnesota",2010,"2150","1997","3.1","3.0","3.2","4.2","4.1","4.3","78.7"
"64","Le Sueur County, Minnesota",2010,"13976","13743","4.9","4.9","5.0","6.0","6.4","5.6","74.4"
"65","Lincoln County, Minnesota",2010,"2959","2976","4.2","4.8","3.6","4.7","4.9","4.5","77.9"
"66","Lyon County, Minnesota",2010,"12673","12933","9.4","9.3","9.6","7.0","7.9","6.2","75.8"
"67","McLeod County, Minnesota",2010,"18432","18357","5.4","5.6","5.2","6.0","6.5","5.4","74.3"
"68","Mahnomen County, Minnesota",2010,"2707","2652","5.7","4.6","6.7","5.7","6.2","5.2","70.8"
"69","Marshall County, Minnesota",2010,"4887","4693","4.1","4.2","4.0","4.9","5.3","4.5","76.7"
