"","CTYNAME","YEAR","TOTALMALE","TOTALFEMALE","AGE2024_TOTAL","AGE2024_MALE","AGE2024_FEMALE","AGE2529_TOTAL","AGE2529_MALE","AGE2529_FEMALE","AGE18ABOVE"
"25","Chisago County, Minnesota",2010,"27410","25434","5.1","6.0","4.2","5.9","6.2","5.6","73.7"
"26","Clay County, Minnesota",2010,"28099","28990","11.0","11.9","10.1","6.4","6.9","5.9","76.9"
"27","Clearwater County, Minnesota",2010,"4408","4185","4.8","5.3","4.3","5.2","5.4","4.9","75.7"
"28","Cook County, Minnesota",2010,"2576","2635","4.2","5.4","3.0","5.2","4.1","6.2","82.8"
"29","Cottonwood County, Minnesota",2010,"5725","5987","4.1","4.7","3.6","5.9","5.8","5.9","75.6"
"30","Crow Wing County, Minnesota",2010,"30818","31018","5.2","5.1","5.3","5.7","6.0","5.5","76.5"
"31","Dakota County, Minnesota",2010,"193301","200079","5.7","5.8","5.5","6.9","7.0","6.9","73.2"
"32","Dodge County, Minnesota",2010,"9869","9960","4.6","4.8","4.4","6.2","6.5","5.8","70.9"
"33","Douglas County, Minnesota",2010,"17945","17964","6.1","6.8","5.4","6.0","6.3","5.6","78.2"
"34","Faribault County, Minnesota",2010,"7334","7485","4.8","5.3","4.3","4.6","4.8","4.4","77.7"
"35","Fillmore County, Minnesota",2010,"10391","10587","4.8","5.1","4.6","5.2","5.4","5.0","75.4"
"36","Freeborn County, Minnesota",2010,"15645","15742","4.9","5.4","4.4","5.3","5.4","5.3","77.9"
"37","Goodhue County, Minnesota",2010,"22823","23107","5.1","5.3","5.0","5.4","5.5","5.2","76.0"
"38","Grant County, Minnesota",2010,"3049","3033","4.7","4.9","4.5","5.1","5.7","4.6","78.4"
"39","Hennepin County, Minnesota",2010,"558750","577772","7.4","7.5","7.3","8.7","8.8","8.5","77.1"
"40","Houston County, Minnesota",2010,"9433","9793","4.6","4.9","4.3","5.0","5.4","4.6","76.1"
"41","Hubbard County, Minnesota",2010,"10151","10054","4.0","4.2","3.8","4.4","4.5","4.2","77.8"
"42","Isanti County, Minnesota",2010,"19037","18645","5.9","6.1","5.7","6.6","6.7","6.5","73.4"
"43","Itasca County, Minnesota",2010,"22509","22326","4.8","5.0","4.6","4.9","5.1","4.8","78.0"
"44","Jackson County, Minnesota",2010,"5230","5173","4.8","5.5","4.0","4.7","4.9","4.4","77.3"
"45","Kanabec County, Minnesota",2010,"8279","8100","4.8","5.0","4.5","5.1","5.4","4.8","75.8"
"46","Kandiyohi County, Minnesota",2010,"21072","20797","6.7","7.1","6.3","5.9","6.3","5.5","75.8"
"47","Kittson County, Minnesota",2010,"2339","2281","4.1","4.1","4.1","3.8","4.2","3.3","78.8"
"48","Koochiching County, Minnesota",2010,"6722","6739","4.4","5.0","3.7","4.9","4.6","5.2","78.6"
"49","Lac qui Parle County, Minnesota",2010,"3669","3674","3.8","4.4","3.2","4.1","4.9","3.3","79.0"
"50","Lake County, Minnesota",2010,"5487","5413","4.4","4.6","4.3","4.5","4.8","4.2","81.3"
"51","Lake of the Woods County, Minnesota",2010,"2150","1997","3.1","3.0","3.2","4.2","4.1","4.3","78.7"
"52","Le Sueur County, Minnesota",2010,"13976","13743","4.9","4.9","5.0","6.0","6.4","5.6","74.4"
"53","Lincoln County, Minnesota",2010,"2959","2976","4.2","4.8","3.6","4.7","4.9","4.5","77.9"
"54","Lyon County, Minnesota",2010,"12673","12933","9.4","9.3","9.6","7.0","7.9","6.2","75.8"
"55","McLeod County, Minnesota",2010,"18432","18357","5.4","5.6","5.2","6.0","6.5","5.4","74.3"
"56","Mahnomen County, Minnesota",2010,"2707","2652","5.7","4.6","6.7","5.7","6.2","5.2","70.8"
"57","Marshall County, Minnesota",2010,"4887","4693","4.1","4.2","4.0","4.9","5.3","4.5","76.7"
"58","Martin County, Minnesota",2010,"10267","10598","4.6","4.9","4.3","4.6","4.7","4.5","77.1"
"59","Meeker County, Minnesota",2010,"11808","11563","5.0","5.4","4.5","5.2","5.2","5.2","74.5"
"60","Mille Lacs County, Minnesota",2010,"13003","13072","5.0","4.9","5.2","6.3","6.6","6.0","74.2"
"61","Morrison County, Minnesota",2010,"16687","16406","5.4","5.6","5.2","6.0","6.4","5.6","75.1"
"62","Mower County, Minnesota",2010,"19234","19621","5.9","6.4","5.4","5.8","6.3","5.4","75.0"
"63","Murray County, Minnesota",2010,"4362","4417","3.9","4.1","3.7","3.9","4.1","3.6","78.2"
"64","Nicollet County, Minnesota",2010,"16248","16023","11.3","11.1","11.5","6.6","7.2","6.0","77.4"
"65","Nobles County, Minnesota",2010,"10724","10306","6.0","5.9","6.1","6.9","8.1","5.8","74.4"
"66","Norman County, Minnesota",2010,"3419","3446","3.6","3.7","3.5","4.6","5.0","4.1","75.8"
"67","Olmsted County, Minnesota",2010,"69157","72087","6.1","6.0","6.3","7.7","7.7","7.8","74.6"
"68","Otter Tail County, Minnesota",2010,"28764","28775","4.7","4.9","4.6","4.8","5.0","4.6","77.9"
"69","Pennington County, Minnesota",2010,"6866","6996","6.4","6.7","6.1","6.7","7.4","6.1","76.2"
"70","Pine County, Minnesota",2010,"15520","13893","4.9","5.2","4.7","6.1","6.7","5.3","77.0"
"71","Pipestone County, Minnesota",2010,"4652","4918","4.5","4.6","4.5","4.7","5.2","4.2","74.8"
"72","Polk County, Minnesota",2010,"15712","15624","7.3","8.1","6.5","5.5","5.8","5.3","76.4"
"73","Pope County, Minnesota",2010,"5592","5472","4.9","5.1","4.8","5.2","5.5","4.8","79.0"
"74","Ramsey County, Minnesota",2010,"243806","259307","8.7","8.6","8.8","8.3","8.4","8.2","76.5"
"75","Red Lake County, Minnesota",2010,"2081","2013","4.4","4.9","3.9","6.4","6.2","6.7","76.5"
"76","Redwood County, Minnesota",2010,"7885","8184","4.6","5.0","4.2","4.8","4.6","4.9","75.1"
"77","Renville County, Minnesota",2010,"8017","7990","5.0","5.3","4.8","4.5","5.1","4.0","76.3"
"78","Rice County, Minnesota",2010,"32082","31005","9.9","10.9","8.9","5.8","6.1","5.4","76.0"
"79","Rock County, Minnesota",2010,"4767","4839","4.7","4.8","4.5","5.0","5.0","5.0","74.4"
"80","Roseau County, Minnesota",2010,"8096","7768","4.4","4.8","4.0","4.8","4.9","4.7","73.1"
"81","St. Louis County, Minnesota",2010,"99585","99887","9.0","9.4","8.5","5.5","5.9","5.2","80.1"
"82","Scott County, Minnesota",2010,"62814","63325","4.5","4.8","4.1","6.4","6.1","6.7","69.6"
"83","Sherburne County, Minnesota",2010,"44437","42386","6.0","6.3","5.6","6.9","6.8","7.0","70.4"
"84","Sibley County, Minnesota",2010,"7689","7530","4.6","4.7","4.6","5.3","5.5","5.1","74.3"
"85","Stearns County, Minnesota",2010,"74628","73299","11.3","11.6","11.0","6.8","7.3","6.4","76.8"
"86","Steele County, Minnesota",2010,"17916","18518","5.1","5.1","5.0","6.2","6.4","5.9","73.5"
"87","Stevens County, Minnesota",2010,"4765","4946","13.2","12.9","13.5","5.1","5.9","4.4","79.5"
"88","Swift County, Minnesota",2010,"5067","4879","4.1","4.3","3.9","5.6","6.6","4.6","77.6"
"89","Todd County, Minnesota",2010,"12651","12153","5.5","5.8","5.2","5.0","5.4","4.6","75.1"
"90","Traverse County, Minnesota",2010,"1847","1810","3.6","4.0","3.2","5.3","5.9","4.6","78.8"
"91","Wabasha County, Minnesota",2010,"10848","10895","5.0","5.0","5.1","5.1","5.4","4.7","76.2"
"92","Wadena County, Minnesota",2010,"6844","6965","4.6","5.2","4.1","4.8","5.0","4.6","76.5"
"93","Waseca County, Minnesota",2010,"9170","9998","5.1","5.4","4.9","6.9","6.3","7.4","76.3"
"94","Washington County, Minnesota",2010,"115094","117442","5.2","5.4","4.9","5.9","6.0","5.7","72.8"
"95","Watonwan County, Minnesota",2010,"5631","5581","5.1","5.9","4.3","5.6","5.6","5.7","75.1"
"96","Wilkin County, Minnesota",2010,"3368","3268","4.6","4.9","4.3","4.6","4.8","4.4","76.0"
"97","Winona County, Minnesota",2010,"25014","26290","14.4","14.0","14.8","6.1","6.6","5.6","80.1"
"98","Wright County, Minnesota",2010,"60689","60075","4.7","4.7","4.6","6.8","6.7","6.8","69.9"
"99","Yellow Medicine County, Minnesota",2010,"5359","5155","5.4","6.0","4.8","4.8","4.8","4.7","76.4"
"100","Aitkin County, Minnesota",2014,"8103","7861","3.4","3.6","3.3","3.8","3.5","4.0","82.4"
"101","Anoka County, Minnesota",2014,"168202","168114","5.8","5.9","5.6","6.4","6.5","6.3","74.9"
"102","Becker County, Minnesota",2014,"16556","16415","4.8","4.9","4.8","5.2","5.2","5.2","75.4"
"103","Beltrami County, Minnesota",2014,"22654","22582","10.3","10.6","10.0","6.3","6.5","6.1","74.8"
"104","Benton County, Minnesota",2014,"19473","19507","7.0","7.1","6.9","8.3","8.5","8.2","75.3"
"105","Big Stone County, Minnesota",2014,"2529","2651","4.4","4.4","4.5","4.2","4.1","4.4","79.4"
"106","Blue Earth County, Minnesota",2014,"32581","32139","15.9","16.6","15.2","8.2","9.2","7.3","80.5"
"107","Brown County, Minnesota",2014,"12648","12865","6.6","6.9","6.3","5.3","5.4","5.2","78.3"
"108","Carlton County, Minnesota",2014,"18283","17147","5.4","5.9","4.8","5.7","6.0","5.4","76.6"
"109","Carver County, Minnesota",2014,"46728","47484","4.6","4.8","4.4","5.2","5.1","5.3","71.2"
"110","Cass County, Minnesota",2014,"14542","13957","4.5","4.6","4.3","4.5","4.4","4.5","78.7"
"111","Chippewa County, Minnesota",2014,"6055","6180","5.3","5.3","5.3","6.0","7.0","4.9","77.1"
"112","Chisago County, Minnesota",2014,"27799","25999","5.3","6.1","4.5","5.4","5.8","4.9","75.5"
"113","Clay County, Minnesota",2014,"29807","30442","11.6","11.3","11.8","7.0","7.5","6.5","76.9"
"114","Clearwater County, Minnesota",2014,"4424","4311","4.6","5.2","4.1","5.1","5.0","5.2","75.3"
"115","Cook County, Minnesota",2014,"2598","2599","4.7","5.2","4.2","4.8","4.2","5.4","84.1"
"116","Cottonwood County, Minnesota",2014,"5645","6031","5.4","4.8","6.1","4.5","5.3","3.7","76.4"
"117","Crow Wing County, Minnesota",2014,"31463","31437","5.3","5.2","5.4","5.4","5.4","5.4","77.4"
"118","Dakota County, Minnesota",2014,"199214","206307","5.5","5.7","5.4","6.6","6.7","6.5","74.4"
"119","Dodge County, Minnesota",2014,"10116","10130","5.1","5.4","4.8","5.3","5.3","5.4","72.1"
"120","Douglas County, Minnesota",2014,"18199","18214","5.6","6.2","5.0","5.7","5.8","5.6","78.6"
"121","Faribault County, Minnesota",2014,"7192","7145","4.5","5.1","3.9","5.0","5.3","4.8","78.6"
"122","Fillmore County, Minnesota",2014,"10394","10448","4.9","5.1","4.7","4.9","5.1","4.8","76.0"
"123","Freeborn County, Minnesota",2014,"15346","15688","5.4","5.4","5.4","5.2","5.6","4.9","78.1"
"124","Goodhue County, Minnesota",2014,"23190","23146","5.1","5.2","5.0","5.4","5.4","5.3","76.8"
"125","Grant County, Minnesota",2014,"2992","2985","4.5","4.7","4.4","4.8","4.9","4.8","78.7"
"126","Hennepin County, Minnesota",2014,"582534","601557","6.8","6.9","6.8","8.8","8.9","8.7","77.6"
"127","Houston County, Minnesota",2014,"9421","9438","4.8","5.2","4.4","4.9","5.3","4.6","78.1"
"128","Hubbard County, Minnesota",2014,"10286","10232","3.9","4.0","3.7","4.3","4.7","4.0","78.6"
"129","Isanti County, Minnesota",2014,"19245","18945","5.4","5.6","5.1","6.2","6.1","6.2","74.8"
"130","Itasca County, Minnesota",2014,"22904","22399","4.9","5.2","4.5","4.8","4.8","4.8","78.5"
"131","Jackson County, Minnesota",2014,"5184","5076","5.0","5.2","4.7","5.4","5.9","4.9","77.6"
"132","Kanabec County, Minnesota",2014,"8164","7920","4.9","5.2","4.6","5.1","5.2","5.1","77.3"
"133","Kandiyohi County, Minnesota",2014,"21353","20963","7.0","7.4","6.6","5.8","6.1","5.5","76.3"
"134","Kittson County, Minnesota",2014,"2245","2256","4.2","4.4","3.9","3.6","4.0","3.2","77.9"
"135","Koochiching County, Minnesota",2014,"6577","6561","4.3","4.4","4.2","4.7","5.0","4.4","79.9"
"136","Lac qui Parle County, Minnesota",2014,"3562","3534","3.6","4.1","3.2","4.2","4.6","3.7","79.1"
"137","Lake County, Minnesota",2014,"5468","5323","4.2","4.0","4.4","5.2","5.5","5.0","81.5"
"138","Lake of the Woods County, Minnesota",2014,"2057","1919","4.1","4.6","3.5","2.5","2.3","2.8","80.3"
"139","Le Sueur County, Minnesota",2014,"14045","13672","5.0","5.0","5.0","5.5","5.6","5.4","75.3"
"140","Lincoln County, Minnesota",2014,"2932","2889","4.2","4.5","3.8","4.5","4.4","4.6","77.9"
"141","Lyon County, Minnesota",2014,"12811","12913","8.9","9.3","8.5","6.8","7.3","6.3","75.6"
"142","McLeod County, Minnesota",2014,"17949","18223","5.3","5.5","5.1","5.8","6.0","5.6","75.5"
"143","Mahnomen County, Minnesota",2014,"2771","2715","6.0","5.4","6.6","5.0","5.0","5.0","69.7"
"144","Marshall County, Minnesota",2014,"4805","4642","4.4","4.9","4.0","5.2","5.0","5.4","76.9"
"145","Martin County, Minnesota",2014,"10116","10399","4.5","4.7","4.4","5.0","5.1","4.9","78.2"
"146","Meeker County, Minnesota",2014,"11752","11395","4.7","5.0","4.4","5.2","5.2","5.2","75.1"
"147","Mille Lacs County, Minnesota",2014,"12989","12902","5.1","5.2","5.0","5.8","5.5","6.0","75.2"
"148","Morrison County, Minnesota",2014,"16714","16340","5.1","5.1","5.0","5.5","5.6","5.4","76.0"
"149","Mower County, Minnesota",2014,"19654","19658","6.0","6.7","5.2","5.4","5.2","5.5","74.9"
"150","Murray County, Minnesota",2014,"4255","4331","3.9","4.3","3.5","4.4","4.6","4.2","78.5"
"151","Nicollet County, Minnesota",2014,"16454","16469","9.0","9.3","8.7","7.4","7.9","6.9","77.7"
"152","Nobles County, Minnesota",2014,"11031","10558","5.9","5.8","6.0","6.3","6.9","5.6","74.0"
"153","Norman County, Minnesota",2014,"3357","3368","4.2","4.4","4.0","4.1","4.2","4.0","76.8"
"154","Olmsted County, Minnesota",2014,"72094","75337","5.4","5.3","5.5","7.6","7.7","7.5","75.1"
"155","Otter Tail County, Minnesota",2014,"28772","28645","4.7","4.9","4.6","4.7","4.7","4.6","78.6"
"156","Pennington County, Minnesota",2014,"6974","7067","6.4","6.8","6.0","6.9","7.6","6.2","76.5"
"157","Pine County, Minnesota",2014,"15719","13628","5.0","5.2","4.7","5.7","6.0","5.3","78.7"
"158","Pipestone County, Minnesota",2014,"4614","4793","4.8","4.5","5.0","5.1","5.6","4.5","75.4"
"159","Polk County, Minnesota",2014,"16000","15630","6.9","7.4","6.4","6.2","6.8","5.5","76.5"
"160","Pope County, Minnesota",2014,"5570","5376","4.4","4.4","4.3","5.3","5.7","4.9","78.6"
"161","Ramsey County, Minnesota",2014,"253159","268106","8.2","8.3","8.2","8.6","8.6","8.5","76.7"
"162","Red Lake County, Minnesota",2014,"2080","1991","4.1","4.3","3.9","5.1","5.3","4.9","75.4"
"163","Redwood County, Minnesota",2014,"7951","7883","4.5","4.6","4.3","5.0","5.3","4.6","75.6"
"164","Renville County, Minnesota",2014,"7754","7572","5.0","5.1","4.8","4.7","4.9","4.6","77.5"
"165","Rice County, Minnesota",2014,"32934","31895","9.9","10.7","9.1","5.4","5.9","4.9","77.2"
"166","Rock County, Minnesota",2014,"4664","4923","4.1","4.2","3.9","4.6","5.0","4.3","74.9"
"167","Roseau County, Minnesota",2014,"7925","7620","4.6","4.7","4.6","4.6","4.8","4.4","74.6"
"168","St. Louis County, Minnesota",2014,"100738","99825","9.0","9.4","8.6","6.0","6.2","5.7","80.6"
"169","Scott County, Minnesota",2014,"67314","67815","4.7","4.9","4.5","5.8","5.6","6.0","70.6"
"170","Sherburne County, Minnesota",2014,"45962","43808","5.8","6.3","5.4","6.4","6.7","6.1","71.9"
"171","Sibley County, Minnesota",2014,"7598","7498","4.9","5.0","4.8","5.2","5.4","4.9","75.0"
"172","Stearns County, Minnesota",2014,"76411","75317","10.9","11.3","10.5","6.5","6.8","6.2","77.1"
"173","Steele County, Minnesota",2014,"17940","18532","5.4","5.9","4.9","5.9","6.1","5.7","74.2"
"174","Stevens County, Minnesota",2014,"4844","4904","13.3","14.2","12.4","5.5","6.0","5.0","78.8"
"175","Swift County, Minnesota",2014,"4853","4749","5.3","5.5","5.0","4.8","5.3","4.4","78.7"
"176","Todd County, Minnesota",2014,"12622","11966","5.1","5.3","4.9","4.9","4.9","4.8","75.6"
"177","Traverse County, Minnesota",2014,"1725","1730","4.1","4.7","3.6","3.7","4.2","3.3","78.8"
"178","Wabasha County, Minnesota",2014,"10807","10678","4.7","4.8","4.6","5.2","4.9","5.4","77.3"
"179","Wadena County, Minnesota",2014,"6837","6917","5.0","5.6","4.4","4.8","4.8","4.9","75.9"
"180","Waseca County, Minnesota",2014,"9037","10090","5.0","5.1","4.9","6.5","5.6","7.4","76.1"
"181","Washington County, Minnesota",2014,"120650","123453","5.2","5.5","4.9","5.8","5.9","5.7","74.2"
"182","Watonwan County, Minnesota",2014,"5621","5530","5.4","6.1","4.7","5.3","5.4","5.2","75.3"
"183","Wilkin County, Minnesota",2014,"3328","3233","4.4","4.5","4.4","4.6","4.7","4.5","76.4"
"184","Winona County, Minnesota",2014,"25128","26157","14.4","14.2","14.7","6.0","6.2","5.7","81.4"
"185","Wright County, Minnesota",2014,"64133","63253","4.6","4.6","4.6","6.0","6.0","6.0","70.7"
"186","Yellow Medicine County, Minnesota",2014,"5228","5005","5.0","5.4","4.6","5.6","6.1","5.0","76.5"
