"","CTYNAME","Percent Married","Percent Divorced","YEAR"
"122","Cass County, Minnesota","61.4","10.0",2016
"123","Chippewa County, Minnesota","57.0","10.1",2016
"124","Chisago County, Minnesota","56.1","10.4",2016
"125","Clay County, Minnesota","50.8","7.9",2016
"126","Clearwater County, Minnesota","54.6","11.2",2016
"127","Cook County, Minnesota","63.5","11.4",2016
"128","Cottonwood County, Minnesota","57.1","10.0",2016
"129","Crow Wing County, Minnesota","56.2","11.8",2016
"130","Dakota County, Minnesota","55.3","10.2",2016
"131","Dodge County, Minnesota","59.6","8.9",2016
"132","Douglas County, Minnesota","60.6","8.8",2016
"133","Faribault County, Minnesota","56.6","11.1",2016
"134","Fillmore County, Minnesota","60.8","9.1",2016
"135","Freeborn County, Minnesota","52.0","12.5",2016
"136","Goodhue County, Minnesota","56.6","11.9",2016
"137","Grant County, Minnesota","62.7","9.2",2016
"138","Hennepin County, Minnesota","47.2","10.0",2016
"139","Houston County, Minnesota","58.7","9.3",2016
"140","Hubbard County, Minnesota","63.4","11.0",2016
"141","Isanti County, Minnesota","53.4","12.3",2016
"142","Itasca County, Minnesota","58.2","11.2",2016
"143","Jackson County, Minnesota","59.5","9.7",2016
"144","Kanabec County, Minnesota","55.2","11.2",2016
"145","Kandiyohi County, Minnesota","57.7","9.1",2016
"146","Kittson County, Minnesota","53.5","10.2",2016
"147","Koochiching County, Minnesota","55.1","10.6",2016
"148","Lac qui Parle County, Minnesota","60.6","9.0",2016
"149","Lake County, Minnesota","61.0","11.7",2016
"150","Lake of the Woods County, Minnesota","54.4","11.1",2016
"151","Le Sueur County, Minnesota","58.1","9.4",2016
"152","Lincoln County, Minnesota","60.2","8.0",2016
"153","Lyon County, Minnesota","52.7","8.1",2016
"154","McLeod County, Minnesota","56.1","8.8",2016
"155","Mahnomen County, Minnesota","46.9","9.9",2016
"156","Marshall County, Minnesota","61.3","9.3",2016
"157","Martin County, Minnesota","54.0","10.8",2016
"158","Meeker County, Minnesota","59.7","9.6",2016
"159","Mille Lacs County, Minnesota","51.4","13.4",2016
"160","Morrison County, Minnesota","57.2","9.9",2016
"161","Mower County, Minnesota","52.0","11.0",2016
"162","Murray County, Minnesota","60.4","9.4",2016
"163","Nicollet County, Minnesota","52.5","8.1",2016
"164","Nobles County, Minnesota","53.7","7.3",2016
"165","Norman County, Minnesota","56.0","10.1",2016
"166","Olmsted County, Minnesota","55.2","10.1",2016
"167","Otter Tail County, Minnesota","59.9","9.2",2016
"168","Pennington County, Minnesota","49.6","11.1",2016
"169","Pine County, Minnesota","49.7","14.6",2016
"170","Pipestone County, Minnesota","60.0","9.5",2016
"171","Polk County, Minnesota","53.2","9.1",2016
"172","Pope County, Minnesota","62.2","10.5",2016
"173","Ramsey County, Minnesota","44.2","10.4",2016
"174","Red Lake County, Minnesota","56.2","11.1",2016
"175","Redwood County, Minnesota","53.7","11.0",2016
"176","Renville County, Minnesota","57.5","9.5",2016
"177","Rice County, Minnesota","49.5","9.5",2016
"178","Rock County, Minnesota","62.9","8.7",2016
"179","Roseau County, Minnesota","58.1","9.6",2016
"180","St. Louis County, Minnesota","47.3","11.9",2016
"181","Scott County, Minnesota","60.1","8.6",2016
"182","Sherburne County, Minnesota","56.4","10.1",2016
"183","Sibley County, Minnesota","57.8","7.5",2016
"184","Stearns County, Minnesota","49.0","8.6",2016
"185","Steele County, Minnesota","56.0","10.7",2016
"186","Stevens County, Minnesota","50.8","6.0",2016
"187","Swift County, Minnesota","56.9","8.4",2016
"188","Todd County, Minnesota","58.2","9.8",2016
"189","Traverse County, Minnesota","60.5","8.0",2016
"190","Wabasha County, Minnesota","61.2","9.5",2016
"191","Wadena County, Minnesota","50.5","13.9",2016
"192","Waseca County, Minnesota","56.4","9.6",2016
"193","Washington County, Minnesota","56.9","9.9",2016
"194","Watonwan County, Minnesota","53.3","9.2",2016
"195","Wilkin County, Minnesota","57.4","12.2",2016
"196","Winona County, Minnesota","45.2","7.9",2016
"197","Wright County, Minnesota","60.4","8.7",2016
"198","Yellow Medicine County, Minnesota","59.3","8.4",2016
"199","Anoka County, Minnesota","53.7","10.2",2017
"200","Blue Earth County, Minnesota","N","N",2017
"201","Carver County, Minnesota","N","N",2017
"202","Dakota County, Minnesota","54.6","10.1",2017
"203","Hennepin County, Minnesota","47.3","10.3",2017
"204","Olmsted County, Minnesota","N","N",2017
"205","Ramsey County, Minnesota","45.3","9.8",2017
"206","Rice County, Minnesota","N","N",2017
"207","St. Louis County, Minnesota","46.9","11.6",2017
"208","Scott County, Minnesota","N","N",2017
"209","Sherburne County, Minnesota","N","N",2017
"210","Stearns County, Minnesota","51.7","8.4",2017
"211","Washington County, Minnesota","N","N",2017
"212","Wright County, Minnesota","N","N",2017
